gameid,total_achievements
7545,700
9829,479
5718,464
406843,431
337396,373
9370,324
335454,301
31985,283
651956,269
334407,263
17708,263
617131,260
518194,243
9300,225
505424,220
525070,212
8578,210
9394,200
374033,197
374015,197
335989,191
333262,191
24195,187
10211,187
524289,185
653531,183
330320,181
24405,178
168948,176
330776,171
9118,171
722905,168
14490,164
12694,164
407976,158
135160,153
15136,149
7472,148
463211,147
142864,146
464880,144
11519,143
178435,143
10565,143
383939,142
10783,142
21167,139
460996,138
487204,138
14312,135
465651,134
452812,134
524288,133
440992,132
135220,130
462403,130
9637,130
13421,130
13420,130
19170,130
13422,130
21630,128
548458,128
438868,127
16360,126
525410,126
158345,125
17249,122
9677,122
576210,122
141290,120
17177,119
157706,115
5720,115
138153,115
330379,115
19565,114
465691,114
647305,114
9203,113
172618,112
16452,111
13423,111
9053,110
19864,110
472245,109
7235,109
620544,108
550303,107
165183,105
8886,105
387360,104
15439,104
15448,104
489162,102
166507,102
633911,100
554102,100
569398,100
590498,100
493757,100
435052,100
462928,100
23544,100
624890,100
692117,100
1725,100
653809,100
13776,100
686360,100
629882,100
465636,100
330789,100
15918,100
24105,100
391731,100
615189,100
454906,100
711314,100
563630,100
374230,100
452929,99
2896,99
514122,99
24059,99
9386,99
1188,99
459919,99
5982,99
163628,99
5724,99
8901,98
7165,98
23440,98
759089,98
694261,98
600119,98
430011,98
673224,98
462927,98
614511,98
5723,98
425636,98
410428,97
336792,97
15340,97
12989,97
400859,96
628916,96
468434,95
498277,95
139483,95
26054,95
492777,95
1209,95
9818,95
576486,95
163325,95
3998,95
420890,94
462551,94
429665,94
174830,94
163747,94
555774,94
458474,93
735110,93
165911,93
2937,93
142782,93
555234,93
3530,92
417380,92
169554,92
16865,92
2643,92
5405,91
13691,91
5737,91
1739,91
7443,91
525347,91
759092,91
460618,90
760685,90
17624,90
660345,90
759088,90
3597,90
7418,90
578687,90
7488,90
759090,90
20642,90
519352,90
487710,90
386902,89
139469,89
483366,89
372285,89
628165,88
414669,88
6184,88
14951,88
433560,88
7314,88
14986,88
6777,88
7442,88
580096,88
7260,87
404609,87
7124,87
407565,86
701732,86
622720,86
551664,86
407571,86
702498,86
630032,86
3437,86
403867,86
176734,85
19198,85
10732,85
8796,85
14791,85
584621,85
8821,85
16295,85
14452,85
662313,85
635481,84
10761,84
493758,84
431076,84
183442,84
526463,84
612330,84
717236,84
608325,84
167710,84
754719,83
693026,83
465650,83
554994,83
139637,83
614713,83
596558,83
424845,83
492749,83
329099,82
14477,82
1040,82
12693,82
18302,82
333116,82
23634,82
525298,82
491427,82
548326,81
13831,81
374020,81
330676,81
406618,80
168241,80
1195,80
174013,80
20453,80
337798,80
2650,80
434523,80
438051,80
191714,80
708101,80
631233,80
191713,80
14177,80
9607,80
431094,80
14361,80
384112,80
446488,80
604111,80
184110,80
3496,80
3922,80
24156,80
2526,80
653322,79
386715,79
16972,79
15509,79
698016,79
463458,79
9635,79
1220,79
628141,79
1141,79
736650,78
141291,78
690534,78
8791,78
13970,78
168735,78
511221,78
1976,78
7326,78
456131,77
619273,77
592428,77
11683,77
10313,77
9092,77
401506,77
7994,77
492718,77
160080,77
7756,77
10253,77
142771,77
579043,77
163627,76
9613,76
5719,76
520686,76
405678,76
2114,76
452120,76
757398,76
1194,76
163578,76
431066,75
640638,75
3954,75
483472,75
436093,75
1223,75
18709,75
8525,75
20812,75
191681,75
14880,75
166846,75
613057,75
15738,75
2435,75
31659,74
20853,74
730975,74
166861,74
333670,74
571129,74
3557,74
7099,74
8980,74
12681,74
17339,74
387342,74
598036,73
682823,73
752775,73
8577,73
647572,73
14152,73
139297,73
11633,73
10509,73
554157,73
2694,73
2036,73
8795,72
20144,72
1203,72
460440,72
757317,72
182736,72
624937,72
372434,72
593871,72
30319,72
1645,72
558551,72
167111,72
168419,72
649355,72
1178,72
1733,72
196217,72
488540,72
401542,72
571337,71
7436,71
331450,71
7605,71
176692,71
559680,71
1226,71
508712,71
712851,71
7211,71
21045,71
7609,71
661581,71
16616,71
392337,71
431080,71
333561,70
1661,70
1953,70
3923,70
5304,70
2697,70
1168,70
1736,70
495457,70
3431,70
2792,70
1143,70
1497,70
3516,70
525336,70
1979,70
6724,70
432946,70
6414,70
23347,70
12144,70
2876,70
7330,70
13197,70
2015,70
5140,70
1210,70
181907,70
4850,70
620656,70
14711,70
7620,70
333485,70
7664,70
13185,70
8138,70
3461,70
2258,70
13113,70
30109,70
8196,70
26738,70
2357,70
12159,70
12616,70
374032,69
670182,69
3405,69
394514,69
461588,69
1216,69
14194,69
395184,69
2528,69
374016,69
446617,69
11942,69
689302,69
7646,69
649513,68
689463,68
8469,68
689462,68
520766,68
420916,68
438780,68
1958,68
400716,68
177200,68
8076,68
2861,68
337637,68
2142,68
612791,68
1201,68
404403,68
589328,68
333989,68
191682,68
337443,68
545548,68
427047,68
630037,68
333953,68
579989,68
589329,68
579026,68
589781,68
2429,67
391886,67
578474,67
456532,67
20504,67
1207,67
192114,67
3227,67
193664,67
393038,67
1208,67
438997,67
17549,67
519777,67
743274,67
5735,67
5457,67
385323,67
184490,67
409745,67
585614,67
551669,67
1782,67
32433,67
425763,67
2808,67
583159,67
585497,66
587483,66
461874,66
3514,66
591639,66
1159,66
2029,66
1185,66
450890,66
137068,66
608302,66
499493,66
487156,66
637559,66
705873,66
415999,66
196283,66
692773,66
10940,66
1171,65
11914,65
5990,65
2170,65
16739,65
446487,65
11478,65
691053,65
481479,65
652330,65
626814,65
6060,65
571229,65
15486,65
336065,65
502723,65
684146,65
676924,65
1142,65
7360,65
414961,65
11463,65
189109,65
625670,65
18687,65
1240,65
2037,65
509369,65
391935,65
176530,65
516657,65
607503,65
2884,65
336736,64
409765,64
581818,64
372161,64
526462,64
555499,64
3696,64
643731,64
491808,64
13184,64
386724,64
2686,64
21725,64
3554,64
13189,64
14301,64
29167,64
358470,64
702628,64
497571,63
404495,63
14173,63
522453,63
628973,63
165552,63
336533,63
526784,63
621388,63
182047,63
630575,63
10791,63
11691,63
330610,63
23685,63
481506,63
331154,63
581316,63
337822,63
7255,63
743677,63
2006,63
642868,63
581317,63
421921,63
8526,63
20808,62
583016,62
23967,62
20582,62
616624,62
21140,62
557379,62
5396,62
416577,62
702614,62
615876,62
436208,62
8400,62
656442,62
1199,62
19841,62
1856,62
417968,62
694329,62
702075,62
452104,62
8484,62
596439,62
464966,62
406825,61
3448,61
2830,61
390637,61
383971,61
14842,61
169586,61
584391,61
407196,61
569383,61
158996,61
421279,61
703752,61
575931,61
379031,61
3570,61
330608,61
163302,61
550228,61
332895,61
457381,61
619265,61
139965,61
165642,61
10087,61
602747,61
689301,61
629839,61
1771,60
484280,60
159727,60
484152,60
1091,60
183440,60
1529,60
3601,60
5722,60
6255,60
421366,60
425005,60
7148,60
2370,60
1215,60
2262,60
5852,60
441604,60
1129,60
2677,60
1920,60
17060,60
7210,60
2811,60
16292,60
2523,60
744155,60
579269,60
2730,60
3823,60
190908,60
2278,60
2315,60
7500,60
384831,60
195232,60
2236,60
372602,60
1735,60
5395,60
1906,60
3860,60
12285,60
1222,60
12571,60
1162,60
2377,60
4941,60
1968,60
1881,60
3891,60
8241,60
181958,60
3214,60
3880,60
2484,60
5736,60
499872,60
2141,60
1099,60
432465,60
19901,60
1643,60
1228,60
1184,60
489246,60
6729,60
2022,60
2555,60
1405,60
650736,60
421265,60
2252,60
8247,60
692234,60
705298,60
1233,60
578793,60
1657,60
2414,59
1905,59
164169,59
1193,59
1154,59
329416,59
589201,59
415248,59
10492,59
404436,59
404432,59
3495,59
1365,59
19995,59
1962,59
20561,59
1944,59
10488,59
442835,59
1224,59
739087,59
738087,59
3355,59
3238,59
642372,59
7349,59
551402,59
1795,59
494717,59
2247,59
586791,59
433573,59
433561,59
413602,59
2143,59
1988,58
1719,58
1218,58
185285,58
20519,58
2115,58
20754,58
455996,58
16073,58
12754,58
581599,58
17481,58
191922,58
1214,58
3722,58
544423,58
3858,58
416383,58
1938,58
607880,58
2710,58
1197,58
590165,58
684689,58
387878,58
168047,58
2813,58
1187,58
1880,58
573106,58
16035,58
615292,58
18901,58
403780,58
1709,58
1080,58
2540,58
1165,58
4768,58
409372,58
706615,58
421494,58
478466,58
653167,58
693001,58
462180,58
653042,58
1766,58
337074,58
14576,58
455997,58
1385,58
578631,58
10349,58
616978,58
5276,58
483744,58
13561,58
13565,58
7401,58
142389,57
1602,57
529547,57
7614,57
384210,57
20623,57
7714,57
335702,57
605543,57
385069,57
188722,57
192028,57
1155,57
453791,57
670855,57
445415,57
331112,57
16604,57
2222,57
331572,57
139032,57
7615,57
18697,57
457949,57
191646,57
167504,57
11941,57
179987,57
167896,57
1864,57
358428,57
10877,57
8767,57
612863,57
579166,57
548617,57
421490,57
620609,57
421362,57
648939,57
1407,57
331328,57
426439,57
426495,56
7580,56
9474,56
410093,56
16600,56
426571,56
443804,56
580506,56
13345,56
589207,56
23517,56
754920,56
21600,56
24293,56
374341,56
11843,56
514350,56
634992,56
438697,56
29084,56
11642,56
16379,56
10602,56
19677,56
173868,56
14197,56
188534,56
593932,56
553707,56
649233,56
3327,56
1205,56
5987,56
443732,56
427060,56
384711,56
5739,56
419246,56
666976,56
412837,56
419320,56
2133,56
458163,56
465637,56
660581,55
558623,55
1466,55
576474,55
387985,55
12899,55
526065,55
2294,55
608457,55
15794,55
2450,55
477002,55
462368,55
599738,55
2737,55
18698,55
8136,55
442882,55
159319,55
567940,55
334177,55
3915,55
760459,55
439743,55
513345,55
13770,55
19164,55
609465,55
2177,55
2055,55
1904,55
1863,55
457777,55
2384,55
3484,55
749822,55
148708,55
2878,55
387960,55
408255,55
2140,55
422827,55
8743,55
598062,55
170778,55
753133,55
10588,55
15133,55
181602,55
607058,55
7479,55
464839,55
379943,55
16038,55
191721,55
3412,55
16740,55
589028,55
170726,55
753107,55
380139,55
668475,55
14542,54
541876,54
19048,54
485764,54
1200,54
1900,54
386291,54
1422,54
157974,54
10544,54
136907,54
2554,54
591889,54
406694,54
331126,54
452016,54
405689,54
20486,54
433140,54
417918,54
625646,54
337609,54
505560,54
470416,54
501090,54
470383,54
1918,54
13167,54
516787,54
491178,54
637401,54
168645,54
432464,54
735537,54
12645,54
1116,54
165379,54
585137,54
522242,54
12913,54
464122,54
557713,54
556004,54
17070,54
738273,54
745658,54
679163,54
491179,54
7697,54
762525,54
1206,54
513495,54
484613,54
337395,54
439398,54
436368,54
1236,54
374028,54
7645,54
403816,54
337787,54
553445,54
596500,53
625603,53
699279,53
628136,53
9683,53
9684,53
1839,53
748291,53
718344,53
523718,53
