gameid,total_achievements
452501,411
670267,271
651845,269
651828,269
417806,264
620412,251
702257,221
528926,213
435558,184
573878,174
442904,172
734119,133
656982,132
24261,128
427281,128
20707,128
7387,128
24230,128
18252,128
21215,128
7248,127
546002,127
662491,127
331022,127
620413,126
178433,126
413410,126
528790,126
3449,125
17816,125
14353,125
5891,125
167756,125
3370,125
702259,125
9020,124
406782,124
5785,123
661659,123
3045,123
661653,123
5679,123
620410,122
10789,120
18925,120
136734,120
575982,120
410890,119
411161,119
148813,119
5817,118
157905,116
604213,116
157906,116
19487,115
13061,114
9277,111
19665,110
9311,110
550305,108
444194,106
17502,106
759,105
437991,105
392941,105
410617,104
410618,104
410619,104
166417,103
193571,102
483266,101
651826,100
163506,100
569334,100
459922,100
569333,100
459936,100
10403,99
408302,98
335483,98
423086,98
17,98
15333,98
15334,98
15318,98
335482,98
15319,98
15332,98
17118,97
1024,96
1018,96
580516,96
580515,96
702260,96
163840,95
426952,95
384328,95
24376,95
24378,95
5892,94
165811,94
458454,94
458481,94
7504,94
417803,93
170406,93
5695,93
166654,93
8873,93
417403,93
542649,92
549229,92
5602,92
546924,92
12653,92
5626,92
420539,91
55,91
572210,91
484354,91
572209,91
484353,91
191425,91
21139,91
20394,91
7691,91
7687,91
550052,91
3726,91
578501,90
651827,90
578499,90
6096,89
3423,89
3421,89
14901,89
5755,89
5681,89
5954,89
628148,89
628147,89
628146,89
549575,88
9459,88
137936,88
407415,87
696212,87
529481,87
701385,87
16085,86
426953,86
16145,86
14209,86
460606,85
717242,85
10638,85
670154,85
3556,84
692948,84
754671,84
33,84
424836,84
5980,84
424835,84
692947,84
492651,83
9800,83
492730,83
428495,83
23623,83
194828,83
373945,82
621948,82
373944,82
621951,82
621949,82
491776,82
18090,82
622123,82
622124,82
622178,82
621950,82
651833,82
13823,82
330726,81
805,81
417798,81
384654,81
9926,81
20436,81
792,81
14302,81
194087,81
20438,81
3612,81
14142,81
4790,81
2955,81
590215,81
184133,81
24386,81
582353,81
131,81
439753,80
393188,80
436273,80
557092,80
393187,80
416350,80
7710,80
7690,80
463482,80
487330,80
437340,80
3346,80
23709,79
19,79
727548,79
417782,79
20684,79
563103,79
9064,79
13952,79
16508,79
13955,79
108,79
21141,79
10303,78
591798,78
7779,78
10221,78
458336,78
492711,78
16794,78
628856,78
333078,77
453138,77
332935,77
777,77
403080,77
149,77
788,76
24225,76
18660,76
464353,76
166743,76
14855,76
20700,76
166783,76
166784,76
8619,76
18871,76
157,76
167370,76
20839,76
465063,75
17521,75
12579,75
529090,75
4853,75
648599,75
711144,75
174416,75
8993,75
648531,75
450,75
7404,75
163258,74
150,74
510,74
5340,74
5822,74
738,74
4795,74
5468,74
433195,74
433196,74
139673,74
647576,74
8742,74
647577,74
135575,73
168465,73
183285,73
103,73
25,73
104,73
20006,73
503721,72
7501,72
472082,72
16605,72
558555,72
472081,72
5882,72
7451,72
177180,72
7475,72
624972,72
594433,72
508866,72
593629,72
594435,72
658097,72
7572,72
7486,72
587556,71
369623,71
676831,71
676830,71
581542,71
566665,71
550692,71
553844,71
564891,71
581781,71
551325,71
587557,71
614047,71
735977,71
587559,71
564992,71
551326,71
640571,71
567143,71
676854,71
8850,71
333878,71
581782,71
676853,71
565281,71
587558,71
337313,71
567142,71
11470,71
11453,71
567126,71
567129,71
581779,71
726818,71
681644,71
731267,71
731268,71
553592,71
731281,71
731282,71
731672,71
707079,71
731674,71
681645,71
565849,71
681646,71
681647,71
681697,71
681698,71
731675,71
681701,71
731681,71
731682,71
552025,71
731266,71
552026,71
731265,71
552697,71
552700,71
730558,71
730559,71
569507,71
552758,71
552759,71
730926,71
730927,71
553421,71
553473,71
553589,71
553590,71
553591,71
552670,71
565409,71
565403,71
681702,71
681718,71
581780,71
727439,71
565888,71
565900,71
565901,71
565902,71
565903,71
680109,71
680111,71
553811,71
553828,71
681719,71
553843,71
566075,71
566097,71
566099,71
566098,71
640585,71
640584,71
640572,71
552692,71
565381,71
553810,71
565887,71
553803,71
731707,71
731708,71
681720,71
565402,71
731843,71
731844,71
681721,71
681722,71
565401,71
681723,71
681727,71
565400,71
565399,71
681728,71
565382,71
565850,71
550688,71
716021,71
569511,71
573338,71
573306,71
573307,71
4938,71
573308,71
573309,71
700262,71
700263,71
700482,71
700483,71
700610,71
700620,71
3608,71
573339,71
711291,71
708364,71
708363,71
708362,71
708361,71
434091,71
573340,71
573341,71
546600,71
546599,71
546004,71
573342,71
573343,71
711290,71
711327,71
571261,71
572072,71
544332,71
712675,71
712601,71
628894,71
628893,71
628892,71
628891,71
712327,71
5447,71
572052,71
572053,71
572054,71
5259,71
711328,71
546965,71
546964,71
697009,71
697010,71
697058,71
697075,71
697076,71
697083,71
697085,71
697086,71
711330,71
711329,71
699583,71
546003,71
573344,71
706885,71
545374,71
706642,71
545370,71
572615,71
706870,71
706883,71
706884,71
707325,71
707324,71
707323,71
707322,71
572770,71
706886,71
699821,71
573542,71
706965,71
573543,71
572769,71
706966,71
706968,71
706969,71
572768,71
573545,71
573544,71
707082,71
707081,71
572409,71
622283,71
622284,71
622285,71
975,71
545001,71
545002,71
545864,71
545863,71
545862,71
3583,71
545861,71
572803,71
708866,71
708865,71
545860,71
708852,71
708851,71
572782,71
708838,71
708827,71
708826,71
708825,71
708824,71
545859,71
545858,71
545857,71
708677,71
622286,71
547545,71
571258,71
569568,71
548695,71
723264,71
723263,71
723262,71
568507,71
598178,71
598177,71
568508,71
723089,71
548700,71
723067,71
723055,71
723054,71
574498,71
598179,71
569593,71
569594,71
569595,71
716157,71
716156,71
716154,71
716153,71
569596,71
6772,71
716057,71
716056,71
716055,71
723265,71
568504,71
693358,71
585480,71
372418,71
569569,71
569590,71
8199,71
8195,71
569592,71
598183,71
568486,71
568492,71
585482,71
585481,71
550111,71
550110,71
585472,71
550109,71
7735,71
585479,71
7730,71
585475,71
542650,71
598182,71
598181,71
635445,71
585474,71
585473,71
598180,71
716054,71
736242,71
716020,71
544331,71
691569,71
6731,71
548061,71
585014,71
585013,71
712795,71
712794,71
712763,71
585012,71
712741,71
712740,71
547546,71
691,71
716019,71
717753,71
717737,71
717736,71
717735,71
717414,71
585011,71
717359,71
717241,71
717240,71
693355,71
693356,71
693357,71
712977,71
712978,71
712979,71
712980,71
715342,71
715932,71
548117,71
548116,71
548115,71
690941,71
691089,71
691121,71
715341,71
715340,71
715339,71
691156,71
691122,71
548114,71
691533,71
691545,71
691548,71
548087,71
691561,71
691562,71
617557,71
617558,71
617559,71
617560,71
691563,71
581541,71
731673,71
736243,71
528872,71
752835,71
752836,71
752837,71
752838,71
752839,71
752840,71
752966,71
752833,71
752967,71
560788,71
753039,71
753042,71
753043,71
560786,71
752834,71
752778,71
555951,71
752142,71
556080,71
577874,71
754703,71
736299,71
755196,71
749035,71
752143,71
752832,71
752144,71
752145,71
752147,71
752811,71
752830,71
752831,71
753185,71
753187,71
753188,71
756887,71
756923,71
577909,71
756909,71
756901,71
756921,71
757056,71
756902,71
753189,71
757441,71
757360,71
557441,71
757390,71
757348,71
757442,71
756922,71
577907,71
577906,71
757355,71
757677,71
757729,71
757730,71
757388,71
557440,71
757726,71
757736,71
757738,71
557439,71
755154,71
560785,71
17520,71
753190,71
560826,71
755345,71
755328,71
744287,71
744151,71
668323,71
743841,71
744347,71
744348,71
743842,71
744349,71
743854,71
591451,71
744350,71
743937,71
743939,71
743751,71
743853,71
743750,71
744195,71
744194,71
744193,71
744192,71
744360,71
744361,71
668324,71
668349,71
556028,71
555952,71
706595,71
706594,71
706555,71
562928,71
706557,71
581403,71
743938,71
706508,71
755344,71
556079,71
556078,71
755467,71
560861,71
755198,71
755244,71
754704,71
560829,71
706509,71
560828,71
755325,71
755343,71
755327,71
560827,71
17431,71
755466,71
748499,71
748498,71
755468,71
755465,71
556043,71
556035,71
754701,71
754702,71
560862,71
591434,71
591435,71
591439,71
556034,71
591449,71
577873,71
591450,71
757361,71
557442,71
605102,71
560266,71
744407,71
762197,71
762196,71
744561,71
762195,71
762183,71
559667,71
664687,71
558473,71
664691,71
664690,71
749071,71
664689,71
749072,71
762198,71
762199,71
760485,71
760486,71
560551,71
560552,71
760496,71
560553,71
762523,71
762524,71
762526,71
762535,71
751846,71
751831,71
751830,71
751829,71
762536,71
664688,71
766293,71
658511,71
760758,71
559089,71
760770,71
760769,71
581385,71
559091,71
760759,71
760713,71
766292,71
757064,71
559093,71
559094,71
559099,71
559100,71
559101,71
765569,71
581384,71
581383,71
765570,71
558638,71
558636,71
581381,71
664684,71
664685,71
766288,71
749076,71
664686,71
749075,71
766289,71
766290,71
766291,71
749074,71
560554,71
560581,71
757383,71
759992,71
760559,71
759625,71
760476,71
759626,71
760477,71
759991,71
759628,71
760716,71
760717,71
760715,71
557605,71
557606,71
560720,71
560717,71
760760,71
755656,71
557604,71
757426,71
560723,71
557603,71
759988,71
560725,71
560728,71
560729,71
560730,71
560731,71
605099,71
605100,71
605101,71
755162,71
757349,71
657792,71
759627,71
557830,71
763975,71
763979,71
761873,71
763978,71
763977,71
763976,71
557642,71
763974,71
760714,71
763973,71
763972,71
557643,71
557827,71
557828,71
557829,71
762018,71
762019,71
757827,71
757828,71
757853,71
757895,71
758118,71
758245,71
557641,71
560582,71
560595,71
560596,71
761874,71
761872,71
761875,71
657872,71
759990,71
581404,71
755197,71
555950,71
577871,71
563925,71
563336,71
653201,71
563926,71
653200,71
653199,71
563337,71
564053,71
653209,71
564054,71
564055,71
564056,71
564063,71
591928,71
734964,71
564065,71
653202,71
563300,71
555012,71
739408,71
557205,71
557206,71
557207,71
577872,71
739482,71
654080,71
557208,71
563049,71
653210,71
739407,71
158110,71
670667,71
670668,71
738865,71
738864,71
653211,71
581436,71
555011,71
739495,71
15,71
650842,71
650841,71
650840,71
650839,71
650838,71
575006,71
73,71
12834,71
554536,71
574999,71
11824,71
581540,71
564705,71
736343,71
736342,71
736341,71
575340,71
554545,71
14602,71
564089,71
581405,71
563589,71
564068,71
563603,71
575498,71
564077,71
564069,71
743722,71
564091,71
32,71
564090,71
672461,71
672462,71
650684,71
650407,71
650406,71
557198,71
707080,71
739644,71
556757,71
557178,71
557184,71
581413,71
581411,71
581409,71
739643,71
555788,71
555791,71
556756,71
655177,71
555786,71
555893,71
556758,71
556759,71
555785,71
557185,71
555949,71
591452,71
581407,71
581408,71
668350,71
562929,71
13174,70
577908,70
7792,70
734226,70
183482,70
668015,70
13178,70
667779,70
668011,70
476701,70
734293,70
169927,70
3531,70
169928,70
734294,70
477718,70
667836,70
14,70
763037,70
734225,70
558637,70
735950,70
736007,70
736006,70
797,70
736005,70
182935,70
177201,69
589341,69
443364,69
589418,69
670881,69
701210,69
701209,69
420948,69
161,69
26,69
407820,69
578384,69
751909,69
602666,69
610860,69
628070,69
419861,69
589419,69
589340,69
751937,69
670848,69
751981,69
752153,69
898,69
8208,69
11928,69
333902,69
168080,69
670849,69
589420,69
675645,69
675646,69
675647,69
147,69
333245,69
589421,69
589339,69
675648,69
487400,69
329310,68
457366,68
20162,68
393002,68
457367,68
460008,68
12618,68
555795,68
5500,68
337807,68
425873,68
425874,68
427051,68
5589,68
2927,68
460006,68
59,68
58,68
3229,68
491545,67
186,67
491546,67
687466,67
687449,67
137911,67
416072,67
337690,67
415593,67
139,67
582,67
401224,67
706713,67
706624,67
17456,67
691587,67
9121,67
493702,67
10891,67
15072,66
