playerid,nickname,country
3798499,DBxH,United Kingdom
4348950,william-924,Hong Kong
309993,zadorvp,Finland
356815,bushman_010,United States
1277420,BlaxTer_X7,Peru
2889149,Lord_Vexx1987,Germany
336946,Dropeur,France
333431,Brice76210,France
390542,xMissFantasy,Canada
3304385,zulqarmessi,India
361899,PureRuby87,Italy
2058540,skorpionnn100,Poland
2889148,HunneBed1973,Netherlands
81172,man08071983,United States
2484333,Darkness-Antares,Brazil
1334589,Vazio,United States
4572891,FreezyBros,Czechia
4706988,EmPtYb0y94,Germany
1757677,RomuloXR,United States
2072694,R1_ROMAN_R1,Argentina
78440,Aztech23,Hungary
362900,Komentaja,Finland
312390,DieSGD,Germany
353390,s62hiromitu,Japan
336513,casper7jg,United States
4355394,Dawn-of-Sorrow,Germany
328520,Dragon_strider,United States
343415,marius_maximus,Spain
327014,chiefsfan27,United States
327673,johnleonhart,United Kingdom
371169,AlbedoPiazzolla,Sweden
1681788,Gamer-Girls-FTW,United States
4441287,NOWOGARDCZANIN,Poland
1219839,thresher786531,United States
2888999,RileyKard,Brazil
318647,h-mut88,Germany
377308,Zatoichi05,Germany
343269,BlueDragonZero,United Kingdom
331975,PoyotaTrius_13,United States
3099587,TJKSH,Japan
381705,Cactuarism,Singapore
343386,Hektor-1989,Germany
300780,bioxz,Germany
4240512,mw3-lover,Norway
237349,Cheerful_Suicide,Russian Federation
2828096,Reepicheep,United States
2132053,GhosTsoldiers47,Brazil
4447023,gagster4life,United Arab Emirates
1688539,Fragile_Helv,Japan
1691969,GironDGuion,Spain
3228135,BloodyHunter106,Germany
4532670,ArcoCross,United Kingdom
406626,TheBeardedRonin,United States
331359,joaozinho,Switzerland
327651,SAWYER1982,Germany
2846285,Dutarakay,Switzerland
3318625,GW-M,United Kingdom
19029,NSR_Apathy,United Kingdom
2264127,AtilaKing1,Spain
2306095,SongEver154,Brazil
10671,moooda,Saudi Arabia
1310733,Ben__Laden86,Netherlands
394604,Vinicacto,United States
4370524,CJBlaze_Flame,Hong Kong
1254289,snakevalter,Brazil
4384302,Skitzo_Squirtle,United States
330081,MCStorm,United Kingdom
1723651,RafaelBCastro,Brazil
341123,sixale,Italy
327391,DlocDaBudSmoka,United States
3621691,Bf06,Austria
4469538,Logann,France
3069416,Demi-Poulew,France
4262060,Kazzie101,United Kingdom
4447677,I-blink-l,United States
432828,nico9303,Denmark
324128,Reko_T,Canada
4576278,dcooper97,United Kingdom
345999,fettie2510,Germany
2457090,Tenshi__ko,United States
347899,HANS-DAMPF-73,Germany
1345784,LouigiQuiday,United States
274681,MICHAEL_DON_LEE,United States
2046437,tunuva,United States
338740,the_mathiouze76,France
291219,Bagr98,Czechia
1282480,UnTamedMidget,United States
336544,moebius_cc,Singapore
331145,daydreamdrooler,United States
345592,Gadamhaze,United States
403324,CaptSaltyCat,United Kingdom
331530,xahr,Germany
79965,THC00,Poland
341846,razyg69,United Kingdom
324218,Lifesamitch,Australia
225839,Brooklyn1562,United States
297545,MadPeav,France
1774805,wmantovi,United States
1797249,soul_goodman95,Russian Federation
2837687,souteago,United States
4383383,oOoRICKSTAoOo,United Kingdom
4482527,Celery_Man4d3d3,United States
2010964,DaveyBeef,United Kingdom
332541,XxKoboldkingxX88,Austria
1694500,deivi_basket,Spain
354335,KurenaiOni,United States
328633,Hades170,Germany
348948,Shin-Y12,Hong Kong
336102,kuldoog,Australia
3247469,Redcarpet-five,Italy
85896,Alphonz_1192,United Kingdom
1281623,DieZwiebacksaege,Germany
1347966,aristarco1985,Spain
3062609,Moussesszz,Portugal
2012515,hanna120,Brazil
340845,dx_triple_h,Belgium
228062,fjhon,Spain
359535,UnluckyForSome,United Kingdom
4347988,SlushieMan95,United States
414793,MrFoxITA,Italy
1887370,Asoga-,France
1144687,PillsOfDarkness,Belgium
3549839,DUKO,United States
87365,RikkHarbour,United States
1127762,LORDLION_999,United States
2318847,SickVeins_Twitch,United Kingdom
2732768,SmileyCrow,United States
331286,XRzStingray,United States
337417,thedarkmavis,Canada
2695401,thomas125,Norway
2605746,MAHOPACWARRIOR91,United States
355763,Molag-Impaler,United Kingdom
4566106,DogsArentReal,United States
1814528,Abo-Ghaith-SY,Saudi Arabia
3597904,Nakoruru94,Hong Kong
294060,istrifir,Germany
340766,Currycullum,Germany
378550,erised_,United States
80069,BooKoo69,United States
3934913,conan__169,Hong Kong
293786,Bahamuta,United States
61257,onimerukyo,France
354867,SkullKenstein,United States
317483,KryptonianSldr,United States
331418,GJMS666,Australia
301920,kogunenjou,United States
291638,MaryMyFantasy,United States
81800,Jon_Bright,United Kingdom
2256522,Lucifer0729,Hong Kong
4409531,BlakeTheTurtle01,United States
320002,Despear74,France
81937,RyanMcCurdy,United States
1239227,applerino,Japan
1437379,True_Heresy,United Kingdom
2428158,Citykillers98,United States
1269249,FabionPedro27,Brazil
1145824,yuriyama1985,Japan
342702,Chops_Jaffa,Australia
1783735,Axii169,Russian Federation
362577,omunlein,Germany
1176658,dookukachoo,Australia
1696019,PF_SpacemanSpiff,United States
331867,Dewlsense,Australia
1830602,nathan99drake,Türkiye
362378,verkao,Hong Kong
1779313,GiveMeMoreMilk,Russian Federation
1811064,Legend_Gamer9876,Canada
435452,go2fx77,Japan
1777450,IllusiveBread,United States
298026,ksa-2000,Saudi Arabia
2413193,ArayNekito_YT,Spain
335086,fal07,Russian Federation
320243,z123456789zaqwsx,Mexico
299662,ShotgunIce41,United States
77541,Mst3rBetty,Netherlands
352781,funky91,France
350798,UnknownCannibal_,United States
138792,alexo-andros,Spain
3992043,jotazin01,Brazil
92372,BIGBOSS-RJ,Brazil
1681851,IllustriousGuest,United States
3534888,MickDeMadPole,Australia
1709377,MFrancischini,Argentina
4538990,Sandmanjr34,United States
1282585,chibihey,Japan
303894,DarkGodKeldon,United States
310970,Solh0und,United States
3165017,Pollo-RoYaLeS-_-,France
292336,Bamsibams,Sweden
89199,L-FAME-7,Germany
336428,seven2406,Germany
2304854,ShadowFox_9,United Kingdom
285448,DCxMoneyxMurdaz,United States
2152601,BlazerOfMordor,Brazil
360852,Daniele,Italy
424203,A_Curious_Pixel,United Kingdom
393160,POETICDRINK2U,United States
400092,Bajuvare,Germany
1340804,KAITO1412_,United States
420029,padfoot922,United States
350637,Nero_Rhoads,Mexico
1898989,jokerapa,United States
2935869,xKiranaifu,Belgium
359010,OCASIO2024,United States
348499,HAIRYHILL1979,United Kingdom
1165166,GooD_Morou,Russian Federation
4570852,PhantomNarukami,United States
1920388,blaise1234,Canada
2414786,BluMagicTX,United States
341925,AKGermany,Germany
4165092,eduweirdo,Brazil
350171,Cy-star,United Kingdom
2176980,kikito45,France
3525139,xMvO,United States
3613769,davletanman,Russian Federation
1227935,julihooligan,Spain
4112821,goodlockbuum,Germany
327086,Novatic,Belgium
4063019,Adrimc95,Spain
17830,Squatt54,United States
1145749,Crylhound83,Germany
2803846,capmorgan4700,Denmark
414156,ShadoFenix,United States
2147589,celso243,Brazil
78251,ShiroixD,Spain
4348968,cosmic_slop,United Kingdom
1824027,AlphaLebon96,Italy
3737589,Bestfastfire,Brazil
3014278,DirtyCrimeBoy__,United Kingdom
308744,Shadowbots007,United States
3804963,aradonberria,Spain
301392,EthanBloodborne,United States
38529,BloodyViruz,Germany
25681,zappyapple,United States
1925551,RockyTit,Russian Federation
84751,X7SunaFSeieiX,France
393038,ace1_,United Kingdom
351352,l2ickard,Sweden
355122,Bxn112,Finland
1696073,konkolyadam,Hungary
2517415,Will-_-CobaiN-_-,Brazil
1343995,Guglio08,Canada
