gameid,total_achievements
664290,10979
573060,9821
640310,5394
730220,5000
687490,5000
840710,5000
710110,5000
861740,5000
861720,5000
693890,5000
687480,5000
710120,5000
754120,5000
860350,5000
860340,5000
689180,5000
808130,5000
733500,5000
858420,5000
830490,5000
655100,5000
798850,5000
828550,5000
828150,5000
738000,5000
774281,5000
827640,5000
739690,5000
706330,5000
826160,5000
706320,5000
859700,5000
767030,5000
796900,5000
845970,5000
805360,5000
771350,5000
585830,5000
849620,5000
850050,5000
805880,5000
804600,5000
815830,5000
851520,5000
804210,5000
851710,5000
690240,5000
756230,5000
781760,5000
721940,5000
679530,5000
806610,5000
723450,5000
658430,5000
693880,5000
844140,5000
843890,5000
857010,5000
843780,5000
693250,5000
712010,5000
705300,5000
818480,5000
786720,5000
485450,5000
874400,5000
705090,5000
743640,5000
822900,5000
822680,5000
822460,5000
877360,5000
824190,5000
699590,5000
747190,5000
821390,5000
684050,5000
631830,5000
821520,5000
686550,5000
866510,4998
675940,4896
780750,4884
444930,4820
709410,4785
690740,4536
810670,4430
718660,4252
604490,4096
756880,4079
1536420,4042
860910,3445
857050,3346
857060,3094
684940,3039
806140,3003
731230,3000
878750,3000
575950,2995
776960,2975
351030,2964
658560,2880
508900,2880
672150,2600
656610,2516
842130,2500
566160,2448
781820,2230
799070,2220
721380,2134
645090,2130
693650,2091
870080,2048
733540,2042
870990,2036
666940,2023
650490,2008
867140,2001
724430,2001
841350,1970
897330,1824
733520,1819
781810,1800
259680,1782
853850,1730
575640,1708
726320,1602
701720,1596
691080,1596
880510,1558
709840,1512
745740,1502
679120,1500
834420,1500
673660,1500
718490,1487
254300,1448
24010,1384
771950,1364
860820,1337
218620,1328
506730,1317
733510,1315
796510,1266
647040,1260
514920,1224
685750,1215
864300,1203
689340,1176
744060,1176
841770,1172
665550,1130
796640,1113
440730,1095
546930,1090
401190,1079
610360,1043
2725560,1021
706380,1018
705710,1011
811250,1000
710780,998
828960,994
863980,952
630060,888
209080,849
608800,849
772470,830
668560,810
1523370,804
816190,800
617670,800
2962810,781
727480,777
658550,777
1098340,770
588120,764
818730,753
529240,733
862300,727
790060,727
9880,709
244210,709
976730,700
1058200,683
854810,676
673820,674
642520,673
780020,666
706370,658
113420,650
954270,642
1353300,641
250900,640
601220,640
1454400,637
1106530,636
394690,635
627690,626
464620,608
559310,601
724740,590
823040,574
416450,572
851650,565
591420,555
697930,555
265990,547
733530,543
656600,526
440,520
675720,520
1218900,512
826010,510
629030,505
2218750,500
671090,500
1878910,500
819950,500
636150,500
845350,500
770400,500
781000,500
576470,492
757330,482
704470,480
577940,463
1018830,456
1005240,454
231430,452
815390,451
2140510,442
1282590,435
772070,428
710190,424
296490,419
1381530,418
244450,415
1554790,410
713380,410
436520,408
955900,408
592340,400
489000,394
2169220,384
1985170,377
236850,373
597180,366
2066020,366
611980,365
2301850,362
685310,362
334230,361
719120,360
498000,351
659810,350
810360,349
698980,348
760460,345
2206560,335
775570,333
706390,332
2488510,330
282800,327
660450,324
362090,322
40400,322
775920,321
289070,320
316430,319
386360,319
1128860,318
725340,317
707590,315
1289810,314
874650,308
342610,308
232090,307
583760,303
567290,302
813780,301
702200,300
238260,300
458600,300
314330,300
760350,299
697900,297
777430,296
1533680,295
570770,294
221380,294
614860,294
894060,289
8930,286
1250,285
400750,282
641320,281
2067920,279
681480,277
466560,274
747810,272
664180,272
1005220,270
1172620,270
2478970,269
847260,267
1497640,265
381210,264
470310,263
17570,262
27920,260
722730,256
271240,255
247000,255
1189290,255
573410,255
654900,252
104900,251
333120,250
2362300,250
1540570,244
371970,240
448170,240
438480,240
1585910,240
1135810,237
266230,236
2160470,235
960170,235
246620,234
1669980,234
818610,232
852110,232
394360,231
740600,229
562220,229
399820,226
645260,225
1141760,223
530070,222
1918040,221
238910,220
99910,220
400910,220
394760,220
1794680,220
682630,219
541370,216
816250,215
212070,213
1944790,212
749880,212
658970,211
228320,210
1069740,210
692200,210
2068280,210
646200,206
548370,206
1463920,204
24200,202
670280,202
449960,202
1775490,201
588970,201
2384620,201
868190,200
1621560,200
950740,200
1484720,200
853860,200
1539140,200
790860,200
874010,200
764560,199
863490,199
2206270,199
375910,198
563560,198
2552430,197
2479830,196
230410,193
544800,193
386180,193
850170,193
1783110,192
885970,192
1944570,192
679660,192
1286830,191
281990,191
837900,190
856110,189
214950,188
837550,188
233700,187
1264710,187
2336200,186
463530,186
1404850,186
829420,186
714280,186
795110,185
219990,185
364360,185
558870,185
242720,183
686810,183
437440,183
1709180,182
1432860,181
1141220,181
1097840,181
2055050,181
723610,180
390030,179
1527950,178
268200,178
1293830,178
2693930,177
707960,177
1942280,176
2162680,176
531640,176
258010,175
591740,175
2196790,174
3054610,173
580420,173
336610,172
460430,172
2384610,171
1937470,171
1139800,171
2936410,171
512020,170
1274710,170
715510,170
253710,170
1948980,170
3017450,170
1468810,169
378030,169
372800,168
658610,168
714290,167
401290,167
2130060,167
273110,166
238430,165
296970,165
585690,165
2097180,165
392160,164
2357570,164
489630,164
725380,163
685240,163
317620,163
430170,163
523000,162
2318480,162
769560,161
1358140,161
399530,161
203770,161
2815610,160
2435090,160
1815230,160
375250,160
518790,160
998930,160
454380,160
580560,159
368080,159
1891700,159
704190,159
1472660,158
722020,158
1837690,158
1158310,158
1535560,158
1296830,158
716190,157
1232580,157
487730,157
442810,157
1469620,157
662320,157
910490,156
787850,156
672680,156
1599340,156
806160,156
1337520,155
1026820,155
761890,154
749340,154
834180,154
736840,154
815950,154
2788310,153
495420,153
1184370,153
628290,153
264200,152
594570,152
2231040,152
770070,152
375480,152
2167220,152
585500,151
1630080,151
211260,150
1207650,150
874140,150
806850,150
788320,150
290080,150
1240630,150
844160,150
664140,150
864570,150
960090,150
806240,150
776540,150
729460,150
828910,150
1051690,149
2202590,148
697850,148
1679220,148
1520850,148
240,147
1170950,147
1551360,147
782100,147
495910,147
766570,146
542910,146
1271710,146
1385380,145
39800,145
1960270,145
661960,145
638070,145
874130,144
1240440,144
1597310,143
391220,143
403200,143
468920,142
376570,142
1517970,142
517330,142
230190,142
1584090,141
1609230,141
1843760,140
2348610,140
672630,140
1127500,140
35450,140
465020,140
570780,140
1149940,140
333640,140
569290,139
280220,139
1739000,139
774091,139
289130,139
329110,139
998740,138
1142710,138
250760,138
1183470,138
712100,137
4920,137
2171840,137
567060,137
486310,137
707300,136
475490,136
1093320,135
678310,135
1734320,135
417480,135
236790,134
643260,134
939970,134
235360,134
784950,133
1345870,133
1063730,133
1135230,133
510840,133
1924480,133
432350,133
1096530,132
427270,132
418460,132
862110,131
2218400,131
544680,131
802130,131
878250,131
263060,131
1989270,131
477160,131
849740,131
599460,131
755410,130
2181930,130
658160,130
1466860,130
1741040,130
63000,129
795040,129
1235110,129
242130,129
228280,129
324520,129
2230980,128
1278210,128
2141520,128
2392760,128
936960,128
1366540,128
637090,128
1217060,128
503940,128
730870,128
567580,128
2610720,127
265930,127
1175460,127
667010,127
586830,127
1853830,127
1328670,127
370480,127
255710,127
238960,127
725970,126
316370,126
588690,126
876840,126
862740,126
260250,125
306020,125
599140,125
1146170,125
1239320,125
562260,124
758370,124
1046300,124
461230,124
1737340,124
1255650,124
572620,124
302670,124
1393500,124
98800,123
562500,123
107410,123
919360,123
222730,123
1299620,123
992640,123
1321440,123
