playerid,country,created
76561198049986813,Brazil,2011-10-05 02:47:16
76561198099373691,,2013-07-22 13:19:51
76561198223962048,,2015-04-15 20:32:23
76561198093121593,Kazakhstan,2013-05-31 22:52:45
76561198267894519,Germany,2015-12-13 16:41:59
76561198994179045,,2019-10-02 20:14:28
76561198268305005,Canada,2015-12-15 15:46:17
76561198152192672,Canada,2014-08-29 16:19:51
76561197963128479,,2003-12-01 09:32:54
76561198985529647,Hong Kong,2019-08-21 15:24:53
76561198056429080,Germany,2012-01-03 18:27:22
76561198310202506,,2016-06-13 07:11:02
76561198223779552,Ukraine,2015-04-14 19:27:50
76561198094774259,Norway,2013-06-17 20:05:08
76561198814913947,Lithuania,2018-02-16 00:31:14
76561198112135111,Belarus,2013-10-25 18:18:16
76561198179588026,Germany,2015-02-14 19:02:43
76561198351648483,Botswana,2016-12-16 20:09:58
76561198047002988,,2011-08-16 22:56:57
76561199366782590,,2022-07-07 21:15:39
76561198868227222,,2018-10-31 14:02:23
76561198255553816,,2015-10-16 20:02:33
76561198865482877,Latvia,2018-10-15 03:01:24
76561198053731152,Russian Federation,2011-12-02 10:44:48
76561198070303313,Brazil,2012-08-27 20:45:54
76561199156845462,,2021-03-31 22:47:44
76561198204258205,Japan,2015-06-28 11:10:24
76561198798695470,,2017-12-24 11:15:38
76561199099988188,,
76561198938509179,,2019-03-19 18:13:52
76561198291103303,Ireland,2016-03-12 23:04:05
76561198299320439,Germany,2016-04-17 21:22:48
76561198846129061,,2018-07-04 23:24:10
76561198043832296,,2011-06-24 18:18:47
76561198138419099,Ukraine,2014-05-29 21:05:49
76561198311775820,,2016-06-17 17:09:38
76561198165926759,Canada,2014-12-01 00:04:51
76561198337182446,Italy,2016-10-16 18:08:08
76561198926587687,Poland,2019-02-24 13:11:16
76561198444050845,,2017-11-06 19:08:37
76561198311308101,,2016-06-14 21:39:15
76561199329434043,,2022-06-11 11:34:44
76561198054841524,United States,2011-12-20 13:14:16
76561198085042780,United States,2013-03-01 07:04:53
76561198215616127,Russian Federation,2015-08-30 17:41:56
76561198890706794,,2019-01-22 05:28:55
76561199217007703,,2021-10-27 11:18:41
76561198982132356,,2019-08-04 19:52:05
76561198116784514,,2013-12-02 21:49:20
76561198242000380,,2015-07-31 00:39:35
76561198081258234,,2013-01-13 03:15:21
76561198027346875,Czechia,2010-07-05 14:26:24
76561198127496269,,2014-02-23 12:37:52
76561198172199470,Germany,2015-01-04 16:50:54
76561198992127272,Kazakhstan,2019-09-18 02:06:23
76561198315515973,China,2016-07-02 07:37:58
76561198380940108,Poland,2017-04-17 20:49:58
76561198948095553,,2019-04-01 05:20:14
76561199187017524,France,2021-07-06 05:51:34
76561198376759838,,2017-04-01 13:08:11
76561198023827704,Malaysia,2010-04-12 16:03:16
76561198160396161,Türkiye,2014-10-25 23:23:32
76561197996283524,Russian Federation,2008-02-01 20:27:46
76561198370197772,"Taiwan, Province of China",2017-02-25 12:54:49
76561198184773781,,2015-03-12 11:35:34
76561198012306547,,2009-07-29 12:03:03
76561198987323830,Finland,2019-08-30 22:29:09
76561198294981984,India,2016-03-28 11:31:34
76561198583790114,Netherlands,2017-02-01 00:05:29
76561198366553598,China,2017-02-12 18:17:51
76561198380460296,United States,2017-04-12 23:33:00
76561198411539285,China,2017-08-12 09:14:00
76561199021245013,,2020-01-24 19:57:24
76561198864245931,Türkiye,2018-10-06 11:54:38
76561198213025817,,2015-08-17 13:43:55
76561198147408156,United States,2014-07-29 17:46:46
76561198020641793,Romania,2010-02-02 21:44:31
76561198099205881,China,2013-07-21 18:32:22
76561199158589313,Denmark,2021-04-05 02:07:54
76561199179125743,China,2021-06-12 09:28:06
76561198038275934,Brazil,2011-02-16 23:21:45
76561199059224671,Australia,2020-05-19 05:19:14
76561198275348636,"Iran, Islamic Republic of",2016-01-08 05:09:19
76561198381822315,Argentina,2017-04-18 11:13:22
76561198052183491,Russian Federation,2011-11-10 13:37:06
76561198167688561,,2014-12-13 10:22:42
76561198191533062,Russian Federation,2015-04-14 01:18:31
76561198199595414,Poland,2015-06-03 20:10:25
76561198167798363,,2014-12-14 07:01:39
76561199057671671,Colombia,2020-05-13 23:33:43
76561198170012243,,2014-12-25 16:56:04
76561198774285336,,2017-10-11 14:05:07
76561198026378863,Slovakia,2010-06-08 17:52:21
76561198167529479,,2014-12-12 20:52:58
76561199057859368,China,2020-05-15 03:14:58
76561198347191956,China,2016-11-26 21:23:06
76561198863458427,Poland,2018-10-03 02:14:44
76561198193550294,Switzerland,2015-04-25 18:32:47
76561198091653522,United States,2013-05-18 14:47:28
76561198142992959,,2014-07-01 04:26:32
76561198163923747,Niger,2014-11-19 17:23:27
76561198331654944,,2016-09-20 17:12:57
76561198001857511,,2008-10-16 21:49:43
76561198447834994,China,2017-11-17 13:54:27
76561198083636993,Italy,2013-02-10 23:02:30
76561198372383526,,2017-03-13 19:47:26
76561198380024698,Romania,2017-04-14 14:08:24
76561198155794347,,2014-09-24 08:13:01
76561198017770766,Slovakia,2009-12-09 20:12:42
76561198067597707,Mexico,2012-07-20 07:25:06
76561198040704081,,2011-04-17 11:37:03
76561197982802580,,2006-05-26 00:30:12
76561198135477089,Brazil,2014-05-03 19:30:36
76561198314077587,Brazil,2016-06-27 23:25:29
76561198050833283,Japan,2011-10-20 21:16:00
76561198105483751,,2013-09-01 20:20:26
76561198242843416,Russian Federation,2015-08-04 21:18:52
76561198008970807,,2009-04-14 13:27:44
76561198272290091,Christmas Island,2015-12-26 22:51:53
76561197966337015,,2004-05-06 21:36:55
76561198802011515,Japan,2018-01-02 19:42:02
76561198187837245,United States,2015-03-26 01:34:42
76561198970436522,Russian Federation,2019-06-17 14:38:18
76561198250715980,Uruguay,2015-09-17 04:00:21
76561199581291501,,2023-12-13 04:56:11
76561198322401109,,2016-08-04 23:23:06
76561198340852658,,2016-10-24 04:36:20
76561198069345658,China,2012-08-14 19:47:43
76561198811234426,Poland,2018-02-02 19:41:29
76561198262309076,Brazil,2015-11-26 00:07:30
